date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd
2024-04-27,930817167.0,,248565.3395501338,248565.3395501338,248565.3395501338,124282.6697750669
2024-04-28,808163567.0,,215811.93231624435,215811.93231624435,215811.93231624435,107905.96615812217
2024-04-29,1187950322.0,,317230.156066321,317230.156066321,317230.156066321,158615.0780331605
2024-04-30,1787530942.0,,477342.11540879385,477342.11540879385,477342.11540879385,238671.05770439692
2024-05-01,1590549336.0,,424740.16357938515,424740.16357938515,424740.16357938515,212370.08178969257
2024-05-02,790103803.0,,210989.25442631746,210989.25442631746,210989.25442631746,105494.62721315873
2024-05-03,832415060.0,,222288.0490079584,222288.0490079584,222288.0490079584,111144.0245039792
2024-05-04,493307660.0,,131732.83686395737,131732.83686395737,131732.83686395737,65866.41843197869
2024-05-05,480703027.0,,128366.89670661406,128366.89670661406,128366.89670661406,64183.44835330703
2024-05-06,815149146.0,,217677.3607565959,217677.3607565959,217677.3607565959,108838.68037829796
2024-05-07,805554652.0,,215115.2478696924,215115.2478696924,215115.2478696924,107557.6239348462
2024-05-08,877880338.0,,234429.0930974592,234429.0930974592,234429.0930974592,117214.5465487296
2024-05-09,695475348.0,,185719.67960316688,185719.67960316688,185719.67960316688,92859.83980158344
2024-05-10,790717802.0,,211153.21666866663,211153.21666866663,211153.21666866663,105576.60833433332
2024-05-11,306677485.0,,81895.13031553925,81895.13031553925,81895.13031553925,40947.565157769626
2024-05-12,274319230.0,,73254.18456757067,73254.18456757067,73254.18456757067,36627.092283785336
2024-05-13,896032968.0,,239276.5699163713,239276.5699163713,239276.5699163713,119638.28495818566
2024-05-14,763471969.0,,203877.4916701705,203877.4916701705,203877.4916701705,101938.74583508525
2024-05-15,946169039.0,,252664.90218358723,252664.90218358723,252664.90218358723,126332.45109179361
2024-05-16,755025010.0,,201621.8164350778,201621.8164350778,201621.8164350778,100810.9082175389
2024-05-17,765218642.0,,204343.9230841155,204343.9230841155,204343.9230841155,102171.96154205775
2024-05-18,418099777.0,,111649.32998688477,111649.32998688477,111649.32998688477,55824.664993442384
2024-05-19,551418231.0,,147250.6789538499,147250.6789538499,147250.6789538499,73625.33947692496
2024-05-20,1665440197.0,,444739.01292770926,444739.01292770926,444739.01292770926,222369.50646385463
2024-05-21,1205786619.0,,321993.15934698784,321993.15934698784,321993.15934698784,160996.57967349392
2024-05-22,1146314542.0,,306111.74080708175,306111.74080708175,306111.74080708175,153055.87040354087
2024-05-23,2012707637.0,,537473.2814806933,537473.2814806933,537473.2814806933,268736.64074034663
2024-05-24,919343284.0,,245501.35477958486,245501.35477958486,245501.35477958486,122750.67738979243
2024-05-25,389712490.0,,104068.79120631659,104068.79120631659,104068.79120631659,52034.39560315829
2024-05-26,534000661.0,,142599.49249674816,142599.49249674816,142599.49249674816,71299.74624837408
2024-05-27,787170481.0,,210205.94036122577,210205.94036122577,210205.94036122577,105102.97018061289
2024-05-28,1070158893.0,,285775.14257549174,285775.14257549174,285775.14257549174,142887.57128774587
2024-05-29,866714127.0,,231447.2690324294,231447.2690324294,231447.2690324294,115723.6345162147
2024-05-30,971844862.0,,259521.3718410964,259521.3718410964,259521.3718410964,129760.6859205482
2024-05-31,915873693.0,,244574.83548493686,244574.83548493686,244574.83548493686,122287.41774246843
2024-06-01,380552969.0,,101622.83347347906,101622.83347347906,101622.83347347906,50811.41673673953
2024-06-02,528597238.0,,141156.5628642224,141156.5628642224,141156.5628642224,70578.2814321112
2024-06-03,958429836.0,,255939.0244038323,255939.0244038323,255939.0244038323,127969.51220191615
2024-06-04,877444459.0,,234312.6960052279,234312.6960052279,234312.6960052279,117156.34800261394
2024-06-05,973990646.0,,260094.38182358336,260094.38182358336,260094.38182358336,130047.19091179168
2024-06-06,704678902.0,,188177.39590469486,188177.39590469486,188177.39590469486,94088.69795234743
2024-06-07,1346871493.0,,359668.45247058134,359668.45247058134,359668.45247058134,179834.22623529067
2024-06-08,376773405.0,,100613.53901446155,100613.53901446155,100613.53901446155,50306.769507230776
2024-06-09,330059606.0,,88139.08998003404,88139.08998003404,88139.08998003404,44069.54499001702
2024-06-10,586663797.0,,156662.65199326279,156662.65199326279,156662.65199326279,78331.32599663139
2024-06-11,1272497718.0,,339807.6857250747,339807.6857250747,339807.6857250747,169903.84286253736
2024-06-12,1383215841.0,,369373.84416470357,369373.84416470357,369373.84416470357,184686.92208235178
2024-06-13,1033645838.0,,276024.6993779957,276024.6993779957,276024.6993779957,138012.34968899784
2024-06-14,1190858133.0,,318006.65767607547,318006.65767607547,318006.65767607547,159003.32883803773
2024-06-15,489421935.0,,130695.19318025053,130695.19318025053,130695.19318025053,65347.596590125264
2024-06-16,537847609.0,,143626.78117357133,143626.78117357133,143626.78117357133,71813.39058678567
2024-06-17,1699320741.0,,453786.47060475836,453786.47060475836,453786.47060475836,226893.23530237918
2024-06-18,1731902939.0,,462487.21807298774,462487.21807298774,462487.21807298774,231243.60903649387
2024-06-19,909414379.0,,242849.94080680623,242849.94080680623,242849.94080680623,121424.97040340312
2024-06-20,910126791.0,,243040.1832485634,243040.1832485634,243040.1832485634,121520.0916242817
2024-06-21,957186685.0,,255607.05346326294,255607.05346326294,255607.05346326294,127803.52673163147
2024-06-22,299072676.0,,79864.34274702966,79864.34274702966,79864.34274702966,39932.17137351483
2024-06-23,527954141.0,,140984.83029435168,140984.83029435168,140984.83029435168,70492.41514717584
2024-06-24,1727524536.0,,461318.00969677145,461318.00969677145,461318.00969677145,230659.00484838572
